"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0.341,0.341,1,1,1,1,0.0192757509112358,-0.0325560569763184,0.0139093408784389,
0.351,0.351,1,1,1,1,0.0218373728513718,-0.0255763530731201,0.0173091900544167,
0.362,0.362,1,1,1,1,0.0233997805595398,-0.0204384326934814,0.0105810172811985,
0.372,0.372,1,1,1,1,0.0240901467561722,-0.0230073928833008,0.0169372570449829,
0.382,0.382,1,1,1,1,0.0263247531294823,-0.0143527984619141,0.0199413313519478,
0.392,0.392,1,1,1,1,0.0277327368199825,-0.0142991542816162,0.0140714655235767,
0.402,0.402,1,1,1,1,0.0295949087977409,-0.0143706798553467,0.0235176102888107,
0.412,0.412,1,1,1,1,0.0312844892263412,-0.0146269798278809,0.0199699415834427,
0.423,0.423,1,1,1,1,0.0339823676526546,-0.00811219215393066,0.0248527544252396,
0.433,0.433,1,1,1,1,0.0342548806250095,-0.00510811805725098,0.0248336809375763,
0.443,0.443,1,1,1,1,0.0379247219860554,-0.00170469284057617,0.0258827227590561,
0.453,0.453,1,1,1,1,0.0384969992280006,0.003814697265625,0.030999185824728,
0.463,0.463,1,1,1,1,0.0414673906266689,-0.00244379043579102,0.026121141354847,
0.473,0.473,1,1,1,1,0.0427391178309917,0.00860691070556641,0.0403356580358982,
0.484,0.484,1,1,1,1,0.0425211074531078,0.00159740447998047,0.0381040599792957,
0.494,0.494,1,1,1,1,0.045318907302618,0.0087738037109375,0.0297689458704472,
0.504,0.504,1,1,1,1,0.0473173357665539,0.0086665153503418,0.0396442441081047,
0.514,0.514,1,1,1,1,0.0505239050745964,0.0159859657287598,0.0408220319713116,
0.524,0.524,1,1,1,1,0.0505420726060867,0.0203490257263184,0.0407934217398167,
0.534,0.534,1,1,1,1,0.0526313387274742,0.0151395797729492,0.0424385100507736,
0.544,0.544,1,1,1,1,0.0533943750500679,0.0250577926635742,0.0405216245406151,
0.554,0.554,1,1,1,1,0.0546206834256649,0.0191569328308105,0.0449466736784935,
0.564,0.564,1,1,1,1,0.0579180903911591,0.0254511833190918,0.0410699873109341,
0.574,0.574,1,1,1,1,0.0598347649633884,0.0250339508056641,0.0477170977615833,
0.585,0.585,1,1,1,1,0.0616878531754017,0.0264167785644531,0.0443410904451847,
0.595,0.595,1,1,1,1,0.0651578516900539,0.028693675994873,0.0453710587790012,
0.605,0.605,1,1,1,1,0.0652305218160152,0.0298261642456055,0.0493907963040352,
0.615,0.615,1,1,1,1,0.0678103112876415,0.0437617301940918,0.050830844622612,
0.625,0.625,1,1,1,1,0.0694363053560257,0.0386238098144531,0.0411129026581764,
0.635,0.635,1,1,1,1,0.068727771627903,0.0452280044555664,0.0537109412597656,
0.645,0.645,1,1,1,1,0.0706171949028969,0.0424861907958984,0.0590896647808075,
0.655,0.655,1,1,1,1,0.0716073253691196,0.0404834747314453,0.0563478509292126,
0.665,0.665,1,1,1,1,0.0736239213645458,0.0464439392089844,0.0612020535395145,
0.675,0.675,1,1,1,1,0.0771120874106884,0.0533223152160645,0.0455808671432972,
0.685,0.685,1,1,1,1,0.0768759095013142,0.0552773475646973,0.0554895439843655,
0.695,0.695,1,1,1,1,0.079373945081234,0.0550270080566406,0.0594854396498203,
0.706,0.706,1,1,1,1,0.0805366670966148,0.0563383102416992,0.0579071085456848,
0.716,0.716,1,1,1,1,0.0822625825881958,0.0608205795288086,0.0603199047350883,
0.726,0.726,1,1,1,1,0.0818719806611538,0.0615477561950684,0.0627613111559868,
0.736,0.736,1,1,1,1,0.0844154350697994,0.0640511512756348,0.0620460553686142,
0.746,0.746,1,1,1,1,0.0857507486343384,0.0635266304016113,0.0621414228069305,
0.756,0.756,1,1,1,1,0.0840884195029735,0.0624179840087891,0.0822782574074268,
0.766,0.766,1,1,1,1,0.0884667945921421,0.0604987144470215,0.0720119526726723,
0.776,0.776,1,1,1,1,0.0887120562672615,0.0798344612121582,0.0752973609226704,
0.786,0.786,1,1,1,1,0.0917823690891266,0.0681281089782715,0.0696229983428478,
0.796,0.796,1,1,1,1,0.0905560607135296,0.0655412673950195,0.0731658986763,
0.806,0.806,1,1,1,1,0.0926634943664074,0.067591667175293,0.0755500846342087,
0.816,0.816,1,1,1,1,0.0953704565584659,0.0714540481567383,0.0705814410979271,
0.826,0.826,1,1,1,1,0.0951433624148369,0.0738382339477539,0.0777196938559055,
0.837,0.837,1,1,1,1,0.0979502460300922,0.0732779502868652,0.0685501146617889,
0.847,0.847,1,1,1,1,0.09977608294487,0.0847101211547852,0.0665378617133141,
0.857,0.857,1,1,1,1,0.0986406122267246,0.0794410705566406,0.0765085273892879,
0.867,0.867,1,1,1,1,0.100012260854244,0.0835657119750977,0.0787925775369644,
0.877,0.877,1,1,1,1,0.101202234166861,0.0766634941101074,0.0769424492336273,
0.887,0.887,1,1,1,1,0.100520951735973,0.0813484191894531,0.0776529366490841,
0.897,0.897,1,1,1,1,0.102646552920341,0.0665664672851563,0.0856733382114887,
0.907,0.907,1,1,1,1,0.102882730829716,0.0852823257446289,0.0785970742884159,
0.917,0.917,1,1,1,1,0.103273332756758,0.0900626182556152,0.0835037289897919,
0.927,0.927,1,1,1,1,0.104327049583197,0.0779628753662109,0.0791883524059772,
0.937,0.937,1,1,1,1,0.107034011775255,0.0916719436645508,0.0946617192728042,
0.947,0.947,1,1,1,1,0.106025713777542,0.0978827476501465,0.0857687056498051,
0.957,0.957,1,1,1,1,0.107878801989555,0.0902414321899414,0.0855493605416775,
0.968,0.968,1,1,1,1,0.108650922077894,0.0896096229553223,0.0783681924364567,
0.978,0.978,1,1,1,1,0.109059691536427,0.0954389572143555,0.0813436565119266,
0.988,0.988,1,1,1,1,0.110694769370556,0.0966310501098633,0.0842809736120701,
0.998,0.998,1,1,1,1,0.111648564773798,0.0946521759033203,0.0838947354868889,
