"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0.173,0.173,1,1,1,1,0.0323927086472511,0.918078422546387,0.0131034860246658,
0.184,0.184,1,1,1,1,0.0358717909276485,1.05783939361572,0.0149869929314137,
0.194,0.194,1,1,1,1,0.0393417894423008,1.16927623748779,0.0184106839669704,
0.204,0.204,1,1,1,1,0.0423485159039497,1.25666856765747,0.0168752682100773,
0.215,0.215,1,1,1,1,0.0444377820253372,1.32237672805786,0.0177860272459984,
0.225,0.225,1,1,1,1,0.0466723883986473,1.38001441955566,0.020613671792078,
0.235,0.235,1,1,1,1,0.0487707382857799,1.43297910690308,0.0253057497572422,
0.246,0.246,1,1,1,1,0.0496336960315704,1.47861242294312,0.0304985067735672,
0.256,0.256,1,1,1,1,0.0515685381352901,1.52460336685181,0.0220441833668232,
0.266,0.266,1,1,1,1,0.0526040874302387,1.57260894775391,0.0236701981901169,
0.276,0.276,1,1,1,1,0.0534488776445389,1.61471366882324,0.0248622911690712,
0.286,0.286,1,1,1,1,0.0561376723051071,1.65976285934448,0.0338315987427235,
0.297,0.297,1,1,1,1,0.0577000800132751,1.7072319984436,0.0205993666763306,
0.307,0.307,1,1,1,1,0.0589990585148334,1.75353288650513,0.0136852273983955,
0.317,0.317,1,1,1,1,0.0615152616262436,1.78728103637695,0.0285625477757454,
0.327,0.327,1,1,1,1,0.0649670926094055,1.83210372924805,0.0256061571879387,
0.337,0.337,1,1,1,1,0.064885338717699,1.8708348274231,0.0337362313044071,
0.347,0.347,1,1,1,1,0.0657573802292347,1.90966129302979,0.0285577794038296,
0.358,0.358,1,1,1,1,0.0668655996501446,1.95977687835693,0.0253677385921478,
0.368,0.368,1,1,1,1,0.0699359124720097,1.99382305145264,0.0319147132325649,
0.378,0.378,1,1,1,1,0.0724157805204391,2.04101800918579,0.0298547765649319,
0.388,0.388,1,1,1,1,0.0724521155834198,2.06596851348877,0.0343036675623894,
0.398,0.398,1,1,1,1,0.0738055966794491,2.11145877838135,0.0442981750979423,
0.408,0.408,1,1,1,1,0.0745141304075718,2.1479606628418,0.0322580360105038,
0.419,0.419,1,1,1,1,0.0760492868185043,2.18422412872314,0.0358629251788616,
0.429,0.429,1,1,1,1,0.078429233443737,2.22707986831665,0.0311422369822025,
0.439,0.439,1,1,1,1,0.0783565633177757,2.2704005241394,0.0364112879491806,
0.449,0.449,1,1,1,1,0.0806547560513019,2.30493545532227,0.0380420711443901,
0.459,0.459,1,1,1,1,0.0826895195782185,2.35114097595215,0.0293064137946129,
0.469,0.469,1,1,1,1,0.0838159065306187,2.39356756210327,0.0289773961324215,
0.479,0.479,1,1,1,1,0.0845516915559769,2.43972539901733,0.03757477069664,
0.49,0.49,1,1,1,1,0.086677292740345,2.50617265701294,0.0378131892924309,
0.5,0.5,1,1,1,1,0.0916006937742233,2.55762338638306,0.0365686442224026,
0.51,0.51,1,1,1,1,0.0922638086736202,2.61958837509155,0.0324153922837257,
0.52,0.52,1,1,1,1,0.0929814261674881,2.67560482025146,0.0435829193105698,
0.53,0.53,1,1,1,1,0.0960063201606274,2.73998975753784,0.0383424785750866,
0.54,0.54,1,1,1,1,0.0988949576675892,2.79903411865234,0.0428056746882915,
