"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
0.456,0.456,1,1,1,1,0.0618967797875404,2.46443748474121,0.0223827377728462,
0.466,0.466,1,1,1,1,0.0631594232261181,2.50377655029297,0.0443506271890163,
0.476,0.476,1,1,1,1,0.0641132186293602,2.53862142562866,0.0273132343338013,
0.487,0.487,1,1,1,1,0.0647854172945023,2.57997512817383,0.0331354164430141,
0.497,0.497,1,1,1,1,0.0674015418291092,2.61354446411133,0.0297832509861946,
0.507,0.507,1,1,1,1,0.0677648924589157,2.66406536102295,0.0370979335050583,
0.517,0.517,1,1,1,1,0.0702810955703258,2.70935297012329,0.0286722203298092,
0.527,0.527,1,1,1,1,0.0704627708852291,2.75185108184814,0.0327301048301697,
0.537,0.537,1,1,1,1,0.0719706759989261,2.80163288116455,0.0342988991904736,
0.547,0.547,1,1,1,1,0.073914601868391,2.86370515823364,0.029668810060215,
0.557,0.557,1,1,1,1,0.0734331622838974,2.91945934295654,0.0289201756694317,
0.567,0.567,1,1,1,1,0.0757041037201881,2.99122333526611,0.0411367445177555,
0.578,0.578,1,1,1,1,0.0766397315919399,3.06711196899414,0.039348605049324,
0.588,0.588,1,1,1,1,0.0781113016426563,3.13538312911987,0.0381660488142014,
0.598,0.598,1,1,1,1,0.0811089443385601,3.19710969924927,0.0366640116607189,
0.608,0.608,1,1,1,1,0.0839975818455219,3.2650351524353,0.0390148190152168,
0.618,0.618,1,1,1,1,0.0838431578278542,3.33302021026611,0.0272846241023064,
0.628,0.628,1,1,1,1,0.0864138635337353,3.39808464050293,0.0315618537107944,
0.638,0.638,1,1,1,1,0.0874857478916645,3.45673561096191,0.0394296673718929,
0.648,0.648,1,1,1,1,0.0908830762803555,3.5184383392334,0.0380897548635483,
0.658,0.658,1,1,1,1,0.0903743853986263,3.58051061630249,0.0418615370489597,
0.668,0.668,1,1,1,1,0.0930995151221752,3.63543033599854,0.0468540224448204,
0.678,0.678,1,1,1,1,0.0950888598203659,3.69664430618286,0.0442171127753734,
